[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=3, tick=9376537, node->id=1270, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=1, tick=9376538, node->id=466, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=1, tick=9376538, node->id=467, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=3, tick=9376538, node->id=1270, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=3, tick=9376538, node->id=1271, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=1, tick=9376539, node->id=467, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=1, tick=9376539, node->id=468, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=3, tick=9376539, node->id=1271, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=3, tick=9376539, node->id=1272, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=1, tick=9376540, node->id=468, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=1, tick=9376540, node->id=469, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=3, tick=9376540, node->id=1272, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=3, tick=9376540, node->id=1273, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=1, tick=9376541, node->id=469, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=1, tick=9376541, node->id=470, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=3, tick=9376541, node->id=1273, node->name=COMP_NODE_FWD_b2_attention_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] issue,sys->id=3, tick=9376541, node->id=1274, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
[2026-02-15 02:43:21.680] [workload] [debug] callback,sys->id=1, tick=9376542, node->id=470, node->name=COMP_NODE_FWD_b2_ffwd_compute, node->type=4
